LECROYHDO6104A,17988,Waveform
Segments,1,SegmentSize,2002
Segment,TrigTime,TimeSinceSegment1
#1,16-Apr-2023 00:22:34,0                 
Time,Ampl
-1.164388e-07,0.0007125
-1.163388e-07,0.000375
-1.162388e-07,-0.000225
-1.161388e-07,-0.0009
-1.160388e-07,-0.0014875
-1.159388e-07,-0.0018625
-1.158388e-07,-0.0019875
-1.157388e-07,-0.0019
-1.156388e-07,-0.0016625
-1.155388e-07,-0.00135
-1.154388e-07,-0.0010125
-1.153388e-07,-0.0007
-1.152388e-07,-0.00045
-1.151388e-07,-0.000275
-1.150388e-07,-0.0002375
-1.149388e-07,-0.0003
-1.148388e-07,-0.00045
-1.147388e-07,-0.0006
-1.146388e-07,-0.0007
-1.145388e-07,-0.0007
-1.144388e-07,-0.0006
-1.143388e-07,-0.0004875
-1.142388e-07,-0.000425
-1.141388e-07,-0.0005
-1.140388e-07,-0.0007
-1.139388e-07,-0.000975
-1.138388e-07,-0.0012125
-1.137388e-07,-0.0013
-1.136388e-07,-0.0011875
-1.135388e-07,-0.0008875
-1.134388e-07,-0.0004875
-1.133388e-07,-0.0001
-1.132388e-07,0.000175
-1.131388e-07,0.000275
-1.130388e-07,0.000175
-1.129388e-07,-0.0001
-1.128388e-07,-0.000525
-1.127388e-07,-0.0010125
-1.126388e-07,-0.0015125
-1.125388e-07,-0.0019
-1.124388e-07,-0.0020625
-1.123388e-07,-0.0019375
-1.122388e-07,-0.001525
-1.121388e-07,-0.0009
-1.120388e-07,-0.000275
-1.119388e-07,0.0001625
-1.118388e-07,0.000225
-1.117388e-07,-0.0001
-1.116388e-07,-0.0007
-1.115388e-07,-0.0013375
-1.114388e-07,-0.0017875
-1.113388e-07,-0.0019
-1.112388e-07,-0.0016875
-1.111388e-07,-0.0013125
-1.110388e-07,-0.001
-1.109388e-07,-0.0009
-1.108388e-07,-0.0010625
-1.107388e-07,-0.0013875
-1.106388e-07,-0.00165
-1.105388e-07,-0.0017
-1.104388e-07,-0.00145
-1.103388e-07,-0.000975
-1.102388e-07,-0.00045
-1.101388e-07,-0.0001
-1.100388e-07,-2.5e-05
-1.099388e-07,-0.0002125
-1.098388e-07,-0.0005625
-1.097388e-07,-0.0009
-1.096388e-07,-0.0011125
-1.095388e-07,-0.001175
-1.094388e-07,-0.0011375
-1.093388e-07,-0.0011
-1.092388e-07,-0.0011
-1.091388e-07,-0.0011125
-1.090388e-07,-0.001075
-1.089388e-07,-0.0009
-1.088388e-07,-0.0005875
-1.087388e-07,-0.0002
-1.086388e-07,0.0001375
-1.085388e-07,0.0003
-1.084388e-07,0.0002375
-1.083388e-07,2.5e-05
-1.082388e-07,-0.0002
-1.081388e-07,-0.0003
-1.080388e-07,-0.0002
-1.079388e-07,6.25e-05
-1.078388e-07,0.00035
-1.077388e-07,0.0005
-1.076388e-07,0.0004
-1.075388e-07,7.5e-05
-1.074388e-07,-0.00035
-1.073388e-07,-0.0007
-1.072388e-07,-0.0008375
-1.071388e-07,-0.0007375
-1.070388e-07,-0.0004375
-1.069388e-07,-0.0001
-1.068388e-07,0.00015
-1.067388e-07,0.00025
-1.066388e-07,0.0002
-1.065388e-07,0.0001
-1.064388e-07,1.25e-05
-1.063388e-07,0
-1.062388e-07,5e-05
-1.061388e-07,0.0001
-1.060388e-07,0.0001
-1.059388e-07,5e-05
-1.058388e-07,-3.75e-05
-1.057388e-07,-0.0001
-1.056388e-07,-0.0001
-1.055388e-07,-2.5e-05
-1.054388e-07,6.25e-05
-1.053388e-07,0.0001
-1.052388e-07,5e-05
-1.051388e-07,-0.0001
-1.050388e-07,-0.0003125
-1.049388e-07,-0.0005
-1.048388e-07,-0.0006125
-1.047388e-07,-0.0006375
-1.046388e-07,-0.000575
-1.045388e-07,-0.0005
-1.044388e-07,-0.00045
-1.043388e-07,-0.0004375
-1.042388e-07,-0.0004625
-1.041388e-07,-0.0005
-1.040388e-07,-0.0005375
-1.039388e-07,-0.000575
-1.038388e-07,-0.000625
-1.037388e-07,-0.0007
-1.036388e-07,-0.0008
-1.035388e-07,-0.000875
-1.034388e-07,-0.000925
-1.033388e-07,-0.0009
-1.032388e-07,-0.0008375
-1.031388e-07,-0.0007875
-1.030388e-07,-0.0008
-1.029388e-07,-0.0009
-1.028388e-07,-0.0010625
-1.027388e-07,-0.0012125
-1.026388e-07,-0.00125
-1.025388e-07,-0.0011
-1.024388e-07,-0.000775
-1.023388e-07,-0.00035
-1.022388e-07,5e-05
-1.021388e-07,0.0003
-1.020388e-07,0.0003375
-1.019388e-07,0.0001875
-1.018388e-07,-6.25e-05
-1.017388e-07,-0.0003
-1.016388e-07,-0.00045
-1.015388e-07,-0.0004875
-1.014388e-07,-0.000475
-1.013388e-07,-0.0005
-1.012388e-07,-0.0006
-1.011388e-07,-0.0007875
-1.010388e-07,-0.0009875
-1.009388e-07,-0.0011
-1.008388e-07,-0.00105
-1.007388e-07,-0.0008
-1.006388e-07,-0.0003875
-1.005388e-07,0.0001
-1.004388e-07,0.00055
-1.003388e-07,0.0008625
-1.002388e-07,0.0009875
-1.001388e-07,0.0009
-1.000388e-07,0.000625
-9.993876e-08,0.00025
-9.983876e-08,-0.0001625
-9.973876e-08,-0.0005
-9.963876e-08,-0.0006625
-9.953876e-08,-0.0006125
-9.943876e-08,-0.000325
-9.933876e-08,0.0001
-9.923876e-08,0.000525
-9.913876e-08,0.0008
-9.903876e-08,0.0008
-9.893876e-08,0.0005
-9.883876e-08,-1.25e-05
-9.873876e-08,-0.0005625
-9.863876e-08,-0.0009625
-9.853876e-08,-0.0011
-9.843876e-08,-0.00095
-9.833876e-08,-0.0006125
-9.823876e-08,-0.000275
-9.813876e-08,-0.0001
-9.803876e-08,-0.0001875
-9.793876e-08,-0.0005
-9.783876e-08,-0.000925
-9.773876e-08,-0.0013
-9.763876e-08,-0.0014875
-9.753876e-08,-0.00145
-9.743876e-08,-0.001225
-9.733876e-08,-0.0009
-9.723876e-08,-0.0005875
-9.713876e-08,-0.0003625
-9.703876e-08,-0.000275
-9.693876e-08,-0.0003
-9.683876e-08,-0.000425
-9.673876e-08,-0.000625
-9.663876e-08,-0.0008625
-9.653876e-08,-0.0011
-9.643876e-08,-0.0012625
-9.633876e-08,-0.0012875
-9.623876e-08,-0.0011
-9.613876e-08,-0.0007
-9.603876e-08,-0.0001625
-9.593876e-08,0.000375
-9.583876e-08,0.000775
-9.573876e-08,0.0009
-9.563876e-08,0.0007375
-9.553876e-08,0.0003625
-9.543876e-08,-0.0001
-9.533876e-08,-0.0005
-9.523876e-08,-0.0007375
-9.513876e-08,-0.0008125
-9.503876e-08,-0.0007625
-9.493876e-08,-0.0007
-9.483876e-08,-0.0006875
-9.473876e-08,-0.0007375
-9.463876e-08,-0.000825
-9.453876e-08,-0.0009
-9.443876e-08,-0.0009125
-9.433876e-08,-0.000825
-9.423876e-08,-0.0006875
-9.413876e-08,-0.0005
-9.403876e-08,-0.0003125
-9.393876e-08,-0.0001375
-9.383876e-08,1.25e-05
-9.373876e-08,0.0001
-9.363876e-08,8.75e-05
-9.353876e-08,-5e-05
-9.343876e-08,-0.000325
-9.333876e-08,-0.0007
-9.323876e-08,-0.0010375
-9.313876e-08,-0.0012125
-9.303876e-08,-0.0011
-9.293876e-08,-0.0007
-9.283876e-08,-0.0001125
-9.273876e-08,0.0004625
-9.263876e-08,0.0007875
-9.253876e-08,0.0007
-9.243876e-08,0.0002125
-9.233876e-08,-0.000525
-9.223876e-08,-0.0012375
-9.213876e-08,-0.0017
-9.203876e-08,-0.00175
-9.193876e-08,-0.0014125
-9.183876e-08,-0.00085
-9.173876e-08,-0.0003
-9.163876e-08,3.75e-05
-9.153876e-08,5e-05
-9.143876e-08,-0.0002375
-9.133876e-08,-0.0007
-9.123876e-08,-0.001175
-9.113876e-08,-0.001525
-9.103876e-08,-0.0017
-9.093876e-08,-0.0017
-9.083876e-08,-0.0015625
-9.073876e-08,-0.001375
-9.063876e-08,-0.0012
-9.053876e-08,-0.0011
-9.043876e-08,-0.0011375
-9.033876e-08,-0.00135
-9.023876e-08,-0.0016875
-9.013876e-08,-0.0021
-9.003876e-08,-0.0024375
-8.993876e-08,-0.0025625
-8.983876e-08,-0.002375
-8.973876e-08,-0.0019
-8.963876e-08,-0.0012375
-8.953876e-08,-0.0006
-8.943876e-08,-0.0001875
-8.933876e-08,-0.0001
-8.923876e-08,-0.000325
-8.913876e-08,-0.000725
-8.903876e-08,-0.0011125
-8.893876e-08,-0.0013
-8.883876e-08,-0.0012375
-8.873876e-08,-0.001
-8.863876e-08,-0.0007125
-8.853876e-08,-0.0005
-8.843876e-08,-0.00045
-8.833876e-08,-0.000525
-8.823876e-08,-0.0006375
-8.813876e-08,-0.0007
-8.803876e-08,-0.000675
-8.793876e-08,-0.0005875
-8.783876e-08,-0.0005125
-8.773876e-08,-0.0005
-8.763876e-08,-0.00055
-8.753876e-08,-0.0006125
-8.743876e-08,-0.0006
-8.733876e-08,-0.0005
-8.723876e-08,-0.0003625
-8.713876e-08,-0.0002875
-8.703876e-08,-0.0003875
-8.693876e-08,-0.0007
-8.683876e-08,-0.0011375
-8.673876e-08,-0.001525
-8.663876e-08,-0.001675
-8.653876e-08,-0.0015
-8.643876e-08,-0.00105
-8.633876e-08,-0.0005125
-8.623876e-08,-0.0001375
-8.613876e-08,-0.0001
-8.603876e-08,-0.0004
-8.593876e-08,-0.000875
-8.583876e-08,-0.0013125
-8.573876e-08,-0.0015
-8.563876e-08,-0.0014
-8.553876e-08,-0.0011125
-8.543876e-08,-0.0008875
-8.533876e-08,-0.0009
-8.523876e-08,-0.0012125
-8.513876e-08,-0.0017
-8.503876e-08,-0.00215
-8.493876e-08,-0.0023
-8.483876e-08,-0.002075
-8.473876e-08,-0.0015375
-8.463876e-08,-0.0009375
-8.453876e-08,-0.0005
-8.443876e-08,-0.0003875
-8.433876e-08,-0.0005625
-8.423876e-08,-0.000875
-8.413876e-08,-0.0011
-8.403876e-08,-0.0010875
-8.393876e-08,-0.0008625
-8.383876e-08,-0.0005375
-8.373876e-08,-0.0003
-8.363876e-08,-0.0002875
-8.353876e-08,-0.000475
-8.343876e-08,-0.00075
-8.333876e-08,-0.0009
-8.323876e-08,-0.000825
-8.313876e-08,-0.000525
-8.303876e-08,-0.00015
-8.293876e-08,0.0001
-8.283876e-08,7.5e-05
-8.273876e-08,-0.0002375
-8.263876e-08,-0.0007
-8.253876e-08,-0.0011
-8.243876e-08,-0.0012375
-8.233876e-08,-0.001025
-8.223876e-08,-0.000525
-8.213876e-08,0.0001
-8.203876e-08,0.0006375
-8.193876e-08,0.0009375
-8.183876e-08,0.00095
-8.173876e-08,0.0007
-8.163876e-08,0.0003125
