LECROYHDO6104A,17988,Waveform
Segments,1,SegmentSize,998
Segment,TrigTime,TimeSinceSegment1
#1,01-Jan-2000 00:00:00,0                 
Time,Ampl
2,0.117
3,0.4114
4,0.0827625
5,0.06120581
6,0.10125
7,0.1063899
8,0.0667375
9,0.072775
10,0.1236304
11,0.13305
12,0.0917625
13,0.2245
14,0.1070441
15,0.1629643
16,0.124525
17,0.079875
18,0.2694375
19,0.1859625
20,0.0976
21,0.1500375
22,0.0814
23,0.1130875
24,0.1114375
25,0.1332375
26,0.0846875
27,0.098125
28,0.0760125
29,0.06001106
30,0.1055375
31,0.189
32,0.09225
33,0.077475
34,0.1027875
35,0.0803875
36,0.1192243
37,0.1761286
38,0.1849625
39,0.1087
40,0.1067518
41,0.1552375
42,0.1023221
43,0.167338
44,0.131565
45,0.1254375
46,0.1062829
47,0.089025
48,0.08853655
49,0.1145125
50,0.06856531
51,0.11825
52,0.0834375
53,0.0946625
54,0.1121375
55,0.06555
56,0.1666252
57,0.0946375
58,0.08203018
59,0.0934625
60,0.109175
61,0.1175
62,0.1404265
63,0.1139625
64,0.08935
65,0.1154591
66,0.072075
67,0.0908
68,0.110875
69,0.1249291
70,0.0780625
71,0.07587668
72,0.1462625
73,0.0827375
74,0.0960125
75,0.1097198
76,0.1035625
77,0.3560506
78,0.1329251
79,0.0838125
80,0.0948
81,0.0851125
82,0.10365
83,0.08217785
84,0.0893875
85,0.1063625
86,0.0768625
87,0.1136375
88,0.0678375
89,0.121225
90,0.1003375
91,0.0800375
92,0.109
93,0.1178625
94,0.0911375
95,0.1118625
96,0.1564125
97,0.0868625
98,0.0881125
99,0.0907931
100,0.085975
101,0.1147125
102,0.1323
103,0.08715
104,0.1099375
105,0.0982
106,0.0816
107,0.15675
108,0.06478899
109,0.0908
110,0.1244243
111,0.0960375
112,0.1535375
113,0.101825
114,0.12905
115,0.0954
116,0.2445625
117,0.1156375
118,0.1652
119,0.2073017
120,0.3767047
121,0.08795394
122,0.0698
123,0.116925
124,0.1315819
125,0.07885
126,0.11645
127,0.094775
128,0.1570125
129,0.0647125
130,0.1117125
131,0.1804625
132,0.0592125
133,0.086425
134,0.0968
135,0.07615
136,0.07845
137,0.08985
138,0.1210125
139,0.093375
140,0.0895125
141,0.1576625
142,0.136425
143,0.101675
144,0.06576096
145,0.1324059
146,0.0727375
147,0.09815
148,0.07335
149,0.087675
150,0.10165
151,0.06189568
152,0.1008625
153,0.1122875
154,0.0916
155,0.0813
156,0.1787125
157,0.04843304
158,0.093475
159,0.09646148
160,0.0941875
161,0.0616125
162,0.099
163,0.1247125
164,0.08680269
165,0.1033875
166,0.099
